subject_id,condition,channel,band,lowcut,highcut,plv,wpli,plv_pref_lag_s,plv_dom_freq,n_samples
2,VIZ,EEG-ch3,theta,4.0,8.0,0.017725919323555467,0.006532377840843919,-0.0061393009998811,6.0,78755
2,VIZ,EEG-ch4,theta,4.0,8.0,0.014516544665608254,0.015742073669519453,0.02005136797334133,6.0,78755
2,VIZ,EEG-ch5,theta,4.0,8.0,0.010668123220856886,0.005793495561324692,-0.00928375401989341,6.0,78755
2,VIZ,EEG-ch6,theta,4.0,8.0,0.014879706508664754,0.021712005371468255,0.03016045102137957,6.0,78755
2,VIZ,EEG-ch7,theta,4.0,8.0,0.007320704120160357,0.008452742880118925,0.0616802336594727,6.0,78755
2,VIZ,EEG-ch8,theta,4.0,8.0,0.01979064826078924,0.009856162090348541,0.00845737150500348,6.0,78755
2,VIZ,EEG-ch9,theta,4.0,8.0,0.012476374484795435,0.007648942806485962,0.010561079854034773,6.0,78755
2,VIZ,EEG-ch10,theta,4.0,8.0,0.03412898154090459,0.0057133596170475314,-0.002771338017793708,6.0,78755
2,VIZ,EEG-ch11,theta,4.0,8.0,0.01872294550350086,0.006951777699228539,0.0062538632589677215,6.0,78755
2,VIZ,EEG-ch12,theta,4.0,8.0,0.010576394503120073,0.01650228595901224,0.038887541385666885,6.0,78755
2,VIZ,EEG-ch14,theta,4.0,8.0,0.024510884983828828,0.01826454377086681,0.01289253862547916,6.0,78755
2,VIZ,EEG-ch15,theta,4.0,8.0,0.021014548144779252,0.03252312314770418,-0.036922538558715565,6.0,78755
2,VIZ,EEG-ch16,theta,4.0,8.0,0.0013182828348514161,2.2502988672756178e-05,-0.08304431458391111,6.0,78755
2,VIZ,EEG-ch17,theta,4.0,8.0,0.0057288622203700455,0.008365320000727053,0.05179426448570896,6.0,78755
2,VIZ,EEG-ch20,theta,4.0,8.0,0.007216482793797241,0.010189440544335585,-0.029862778109750514,6.0,78755
2,VIZ,EEG-ch21,theta,4.0,8.0,0.010191288212701826,0.015587672524442962,-0.04678415946816665,6.0,78755
2,VIZ,EEG-ch22,theta,4.0,8.0,0.016786324727174402,0.02455875043620602,0.05074508669029444,6.0,78755
2,VIZ,EEG-ch24,theta,4.0,8.0,0.013228305913836369,0.019920435032401783,0.047927252435062934,6.0,78755
2,VIZ,EEG-ch25,theta,4.0,8.0,0.014956907206842299,0.017082362533316856,0.06155275025605825,6.0,78755
2,VIZ,EEG-ch26,theta,4.0,8.0,0.01006728088252328,0.00949668485042332,0.06616654678890811,6.0,78755
2,VIZ,EEG-ch27,theta,4.0,8.0,0.010480795909227804,0.014485938218117526,0.054432041749973376,6.0,78755
2,VIZ,EEG-ch29,theta,4.0,8.0,0.03874438199668573,0.04788521892309784,0.024282416287515395,6.0,78755
2,VIZ,EEG-ch30,theta,4.0,8.0,0.032934677023035305,0.05167561360759707,0.040920187744385376,6.0,78755
2,VIZ,EEG-ch31,theta,4.0,8.0,0.012213801980075618,0.017269432894375537,0.05348122418965818,6.0,78755
2,VIZ,EEG-ch32,theta,4.0,8.0,0.01798525314636343,0.022399707124197307,0.05905874635194708,6.0,78755
2,VIZ,EEG-ch1,alpha,8.0,13.0,0.012823158080892254,0.01988588473269468,0.02622432258357283,10.5,78755
2,VIZ,EEG-ch2,alpha,8.0,13.0,0.0405222146028065,0.02947125150401261,0.04033602718945012,10.5,78755
2,VIZ,EEG-ch3,alpha,8.0,13.0,0.017804638272525913,0.012526590456988885,0.04056438067466634,10.5,78755
2,VIZ,EEG-ch4,alpha,8.0,13.0,0.0359473828428087,0.04580119170580855,0.03339769861338931,10.5,78755
2,VIZ,EEG-ch5,alpha,8.0,13.0,0.02109104859456931,0.02634428477875035,0.03402447751898803,10.5,78755
2,VIZ,EEG-ch6,alpha,8.0,13.0,0.013504519719096867,0.021254204236810303,0.025187847125361144,10.5,78755
2,VIZ,EEG-ch7,alpha,8.0,13.0,0.028363350390586118,0.029315035883427657,0.03667638703324795,10.5,78755
